,Acsst5Y2010.S0101-Data.1.2,Geographic Area Name,Total  Estimate  Total Population,Total  Estimate  Selected Age Categories 65 Years And Over
130,2012,Michigan,9897264.0,1375720.0
131,2012,Minnesota,5313081.0,690701.0
132,2012,Mississippi,2967620.0,382823.0
133,2012,Missouri,5982413.0,843520.0
134,2012,Montana,990785.0,147627.0
135,2012,Nebraska,1827306.0,246686.0
136,2012,Nevada,2704204.0,329913.0
137,2012,New Hampshire,1317474.0,180494.0
138,2012,New Jersey,8793888.0,1195969.0
139,2012,New Mexico,2055287.0,275408.0
140,2012,New York,19398125.0,2638145.0
141,2012,North Carolina,9544249.0,1250297.0
142,2012,North Dakota,676253.0,98057.0
143,2012,Ohio,11533561.0,1637766.0
144,2012,Oklahoma,3749005.0,509865.0
145,2012,Oregon,3836628.0,540965.0
146,2012,Pennsylvania,12699589.0,1968436.0
147,2012,Rhode Island,1052471.0,153661.0
148,2012,South Carolina,4630351.0,638988.0
149,2012,South Dakota,815871.0,117485.0
150,2012,Tennessee,6353226.0,864039.0
151,2012,Texas,25208897.0,2646934.0
152,2012,Utah,2766233.0,251727.0
153,2012,Vermont,625498.0,91948.0
154,2012,Virginia,8014955.0,985839.0
155,2012,Washington,6738714.0,835601.0
156,2012,West Virginia,1850481.0,299778.0
157,2012,Wisconsin,5687219.0,784836.0
158,2012,Wyoming,562803.0,70350.0
160,2013,Alabama,4799277.0,681497.0
161,2013,Alaska,720316.0,59066.0
162,2013,Arizona,6479703.0,933077.0
163,2013,Arkansas,2933369.0,431205.0
164,2013,California,37659181.0,4443783.0
165,2013,Colorado,5119329.0,583604.0
166,2013,Connecticut,3583561.0,519616.0
167,2013,Delaware,908446.0,135358.0
168,2013,District of Columbia,619371.0,70608.0
169,2013,Florida,19091156.0,3398226.0
170,2013,Georgia,9810417.0,1088956.0
171,2013,Hawaii,1376298.0,203692.0
172,2013,Idaho,1583364.0,204254.0
173,2013,Illinois,12848554.0,1657463.0
174,2013,Indiana,6514861.0,866477.0
175,2013,Iowa,3062553.0,462446.0
176,2013,Kansas,2868107.0,387194.0
177,2013,Kentucky,4361333.0,597503.0
178,2013,Louisiana,4567968.0,575564.0
179,2013,Maine,1328320.0,219173.0
180,2013,Maryland,5834299.0,740956.0
181,2013,Massachusetts,6605058.0,931313.0
182,2013,Michigan,9886095.0,1403825.0
183,2013,Minnesota,5347740.0,711249.0
184,2013,Mississippi,2976872.0,392947.0
185,2013,Missouri,6007182.0,865034.0
186,2013,Montana,998554.0,152779.0
187,2013,Nebraska,1841625.0,252303.0
188,2013,Nevada,2730066.0,343988.0
189,2013,New Hampshire,1319171.0,187322.0
190,2013,New Jersey,8832406.0,1218872.0
191,2013,New Mexico,2069706.0,285619.0
192,2013,New York,19487053.0,2689213.0
193,2013,North Carolina,9651380.0,1293285.0
194,2013,North Dakota,689781.0,99328.0
195,2013,Ohio,11549590.0,1663141.0
196,2013,Oklahoma,3785742.0,522432.0
197,2013,Oregon,3868721.0,560965.0
198,2013,Pennsylvania,12731381.0,1998827.0
199,2013,Rhode Island,1051695.0,155651.0
200,2013,South Carolina,4679602.0,664503.0
201,2013,South Dakota,825198.0,119654.0
202,2013,Tennessee,6402387.0,889932.0
203,2013,Texas,25639373.0,2743413.0
204,2013,Utah,2813673.0,261672.0
205,2013,Vermont,625904.0,95137.0
206,2013,Virginia,8100653.0,1020682.0
207,2013,Washington,6819579.0,872906.0
208,2013,West Virginia,1853619.0,305847.0
209,2013,Wisconsin,5706871.0,804669.0
210,2013,Wyoming,570134.0,72407.0
212,2014,Alabama,4817678.0,698563.0
213,2014,Alaska,728300.0,61906.0
214,2014,Arizona,6561516.0,977666.0
215,2014,Arkansas,2947036.0,442055.0
216,2014,California,38066920.0,4606097.0
217,2014,Colorado,5197580.0,613314.0
218,2014,Connecticut,3592053.0,531624.0
219,2014,Delaware,917060.0,141227.0
220,2014,District of Columbia,633736.0,71612.0
221,2014,Florida,19361792.0,3523846.0
222,2014,Georgia,9907756.0,1139392.0
223,2014,Hawaii,1392704.0,211691.0
224,2014,Idaho,1599464.0,212729.0
225,2014,Illinois,12868747.0,1698675.0
226,2014,Indiana,6542411.0,889768.0
227,2014,Iowa,3078116.0,470952.0
228,2014,Kansas,2882946.0,394964.0
229,2014,Kentucky,4383272.0,613658.0
230,2014,Louisiana,4601049.0,593535.0
231,2014,Maine,1328535.0,225851.0
232,2014,Maryland,5887776.0,765411.0
233,2014,Massachusetts,6657291.0,958650.0
234,2014,Michigan,9889024.0,1443798.0
235,2014,Minnesota,5383661.0,732178.0
236,2014,Mississippi,2984345.0,402887.0
237,2014,Missouri,6028076.0,880099.0
238,2014,Montana,1006370.0,158000.0
239,2014,Nebraska,1855617.0,257931.0
240,2014,Nevada,2761584.0,361768.0
241,2014,New Hampshire,1321069.0,194197.0
242,2014,New Jersey,8874374.0,1251287.0
243,2014,New Mexico,2080085.0,295372.0
244,2014,New York,19594330.0,2762801.0
245,2014,North Carolina,9750405.0,1345556.0
246,2014,North Dakota,704925.0,100804.0
247,2014,Ohio,11560380.0,1699376.0
248,2014,Oklahoma,3818851.0,534639.0
249,2014,Oregon,3900343.0,581151.0
250,2014,Pennsylvania,12758729.0,2041397.0
251,2014,Rhode Island,1053252.0,159041.0
252,2014,South Carolina,4727273.0,694909.0
253,2014,South Dakota,834708.0,122702.0
254,2014,Tennessee,6451365.0,916094.0
255,2014,Texas,26092033.0,2844032.0
256,2014,Utah,2858111.0,271521.0
257,2014,Vermont,626358.0,98338.0
258,2014,Virginia,8185131.0,1064067.0
259,2014,Washington,6899123.0,910684.0
260,2014,West Virginia,1853881.0,311452.0
261,2014,Wisconsin,5724692.0,824356.0
262,2014,Wyoming,575251.0,75358.0
264,2015,Alabama,4830620.0,719762.0
265,2015,Alaska,733375.0,66004.0
266,2015,Arizona,6641928.0,1022857.0
267,2015,Arkansas,2958208.0,452606.0
268,2015,California,38421464.0,4802683.0
269,2015,Colorado,5278906.0,644027.0
270,2015,Connecticut,3593222.0,542577.0
271,2015,Delaware,926454.0,147306.0
272,2015,District of Columbia,647484.0,73166.0
273,2015,Florida,19645772.0,3654114.0
274,2015,Georgia,10006693.0,1190796.0
275,2015,Hawaii,1406299.0,219383.0
276,2015,Idaho,1616547.0,223083.0
277,2015,Illinois,12873761.0,1737958.0
278,2015,Indiana,6568645.0,913042.0
279,2015,Iowa,3093526.0,479497.0
280,2015,Kansas,2892987.0,405018.0
281,2015,Kentucky,4397353.0,633219.0
282,2015,Louisiana,4625253.0,610533.0
283,2015,Maine,1329100.0,233922.0
