Year,State,Deaths
2014,South Carolina,61402
2014,South Dakota,7528
2014,Tennessee,87284
2014,Texas,242001
2014,Utah,19049
2014,Vermont,6041
2014,Virginia,80176
2014,Washington,61308
2014,West Virginia,29563
2014,Wisconsin,53145
2014,Wyoming,6110
2015,Alabama,72385
2015,Alaska,7121
2015,Arizona,66101
2015,Arkansas,42589
2015,California,306186
2015,Colorado,43772
2015,Connecticut,31214
2015,Delaware,10535
2015,District of Columbia,7246
2015,Florida,218932
2015,Georgia,110837
2015,Hawaii,12437
2015,Idaho,14920
2015,Illinois,128644
2015,Indiana,78120
2015,Iowa,30480
2015,Kansas,29774
2015,Kentucky,63669
2015,Louisiana,63167
2015,Maine,15257
2015,Maryland,59223
2015,Massachusetts,57642
2015,Michigan,115749
2015,Minnesota,43953
2015,Mississippi,45290
2015,Missouri,74293
2015,Montana,11257
2015,Nebraska,16862
2015,Nevada,31710
2015,New Hampshire,12713
2015,New Jersey,81695
2015,New Mexico,23674
2015,New York,177285
2015,North Carolina,113459
2015,North Dakota,6106
2015,Ohio,141807
2015,Oklahoma,53892
2015,Oregon,40126
2015,Pennsylvania,146214
2015,Rhode Island,10187
2015,South Carolina,63393
2015,South Dakota,7948
2015,Tennessee,90439
2015,Texas,249144
2015,Utah,20202
2015,Vermont,6365
2015,Virginia,81659
2015,Washington,62625
2015,West Virginia,30432
2015,Wisconsin,55390
2015,Wyoming,6328
2016,Alabama,73929
2016,Alaska,7308
2016,Arizona,68082
2016,Arkansas,43697
2016,California,312628
2016,Colorado,45082
2016,Connecticut,31815
2016,Delaware,10724
2016,District of Columbia,7213
2016,Florida,222442
2016,Georgia,113345
2016,Hawaii,12820
2016,Idaho,15462
2016,Illinois,130047
2016,Indiana,80099
2016,Iowa,31027
2016,Kansas,30173
2016,Kentucky,64590
2016,Louisiana,64870
2016,Maine,15532
2016,Maryland,60259
2016,Massachusetts,58787
2016,Michigan,117956
2016,Minnesota,45114
2016,Mississippi,46238
2016,Missouri,75652
2016,Montana,11584
2016,Nebraska,17034
2016,Nevada,32617
2016,New Hampshire,13092
2016,New Jersey,82618
2016,New Mexico,24267
2016,New York,179333
2016,North Carolina,116049
2016,North Dakota,6399
2016,Ohio,144932
2016,Oklahoma,55342
2016,Oregon,41347
2016,Pennsylvania,148241
2016,Rhode Island,10427
2016,South Carolina,64590
2016,South Dakota,8060
2016,Tennessee,92774
2016,Texas,256541
2016,Utah,20927
2016,Vermont,6549
2016,Virginia,83194
2016,Washington,64228
2016,West Virginia,31056
2016,Wisconsin,56884
2016,Wyoming,6316
2017,Alabama,75262
2017,Alaska,7060
2017,Arizona,70310
2017,Arkansas,44590
2017,California,317975
2017,Colorado,46461
2017,Connecticut,32235
2017,Delaware,10923
2017,District of Columbia,7354
2017,Florida,228026
2017,Georgia,116817
2017,Hawaii,13046
2017,Idaho,15933
2017,Illinois,132343
2017,Indiana,82008
2017,Iowa,31672
2017,Kansas,30612
2017,Kentucky,66250
2017,Louisiana,66981
2017,Maine,15859
2017,Maryland,61694
2017,Massachusetts,60536
2017,Michigan,120584
2017,Minnesota,45858
2017,Mississippi,47318
2017,Missouri,77369
2017,Montana,11636
2017,Nebraska,17459
2017,Nevada,33512
2017,New Hampshire,13509
2017,New Jersey,83427
2017,New Mexico,25048
2017,New York,180891
2017,North Carolina,119253
2017,North Dakota,6522
2017,Ohio,148038
2017,Oklahoma,56593
2017,Oregon,42540
2017,Pennsylvania,150021
2017,Rhode Island,10652
2017,South Carolina,66746
2017,South Dakota,8089
2017,Tennessee,95487
2017,Texas,265231
2017,Utah,21610
2017,Vermont,6584
2017,Virginia,84990
2017,Washington,66150
2017,West Virginia,31553
2017,Wisconsin,57806
2017,Wyoming,6502
